layer_idx,layer_name,n_samples,n_right,n_wrong,n_folds,cv_bal_acc_mean,cv_bal_acc_std,cv_acc_mean,cv_acc_std,cv_auc_mean,cv_auc_std,cv_bal_acc_folds,cv_auc_folds
0,layer_00,780,346,434,5,0.4866990259023313,0.02058525433804423,0.4576923076923077,0.027675683519131924,0.4955532643423582,0.030092474537677095,"[0.5135, 0.478, 0.4853, 0.5027, 0.454]","[0.5276, 0.4867, 0.4779, 0.5322, 0.4534]"
1,layer_01,780,346,434,5,0.6549502491279278,0.03737745507385577,0.658974358974359,0.03612564821437276,0.6827240366527698,0.04585606348362052,"[0.7158, 0.6664, 0.6032, 0.6332, 0.6562]","[0.7669, 0.676, 0.6413, 0.6422, 0.6872]"
2,layer_02,780,346,434,5,0.690391847265736,0.03035038834290793,0.6948717948717948,0.031298860553163346,0.7186919220345531,0.020125775702239754,"[0.6993, 0.6449, 0.6709, 0.7344, 0.7024]","[0.7331, 0.7095, 0.684, 0.7403, 0.7266]"
3,layer_03,780,346,434,5,0.6795361621514824,0.011610179935525914,0.6833333333333333,0.01439098994913053,0.7270208085326109,0.024029398510148726,"[0.6895, 0.6709, 0.6609, 0.6897, 0.6867]","[0.7336, 0.7268, 0.6815, 0.7478, 0.7455]"
4,layer_04,780,346,434,5,0.6921119838751719,0.026294703618527576,0.6935897435897436,0.02761622978017693,0.7449719105010064,0.02889563807096637,"[0.6917, 0.7201, 0.6437, 0.7099, 0.6952]","[0.7452, 0.7576, 0.6893, 0.7653, 0.7674]"
5,layer_05,780,346,434,5,0.7030565116113039,0.038150702609638994,0.7051282051282052,0.03737789676182883,0.7346676384952596,0.03737962401517441,"[0.6917, 0.7519, 0.6377, 0.7099, 0.7241]","[0.703, 0.7699, 0.68, 0.7453, 0.7751]"
6,layer_06,780,346,434,5,0.7123967584314155,0.029483233736045302,0.7141025641025641,0.03430535425707602,0.7460855674045591,0.044364762564592444,"[0.7007, 0.7399, 0.6612, 0.7201, 0.7401]","[0.7201, 0.7974, 0.6838, 0.7331, 0.7959]"
7,layer_07,780,346,434,5,0.7161117613950501,0.02874712186386178,0.7205128205128204,0.032836534550937706,0.7554792814002743,0.046064899340391964,"[0.7297, 0.7429, 0.6712, 0.6939, 0.7429]","[0.7817, 0.7921, 0.6673, 0.7525, 0.7838]"
8,layer_08,780,346,434,5,0.7007124012744458,0.04591877812376049,0.7038461538461538,0.04647325374459449,0.7512428890759492,0.04955742634705205,"[0.7422, 0.7574, 0.6567, 0.6404, 0.7069]","[0.7909, 0.8083, 0.6665, 0.7351, 0.7555]"
9,layer_09,780,346,434,5,0.6992838298458744,0.020413578804359196,0.7025641025641025,0.020512820512820523,0.7398452933001938,0.04406563882465331,"[0.735, 0.6894, 0.6842, 0.6794, 0.7084]","[0.7967, 0.7226, 0.6698, 0.7348, 0.7753]"
10,layer_10,780,346,434,5,0.7142995777858578,0.028090004935246233,0.7166666666666668,0.02962620514946497,0.7684251672613306,0.038325254651100926,"[0.7234, 0.7329, 0.6797, 0.6839, 0.7516]","[0.807, 0.7681, 0.7021, 0.7593, 0.8056]"
11,layer_11,780,346,434,5,0.7240484741018195,0.03498649891484503,0.7256410256410255,0.03328398714294147,0.7765608336474067,0.03207564492137099,"[0.7462, 0.6867, 0.7129, 0.6939, 0.7806]","[0.7957, 0.7819, 0.7321, 0.7506, 0.8224]"
12,layer_12,780,346,434,5,0.7141191530480606,0.02419310190160646,0.7153846153846154,0.02205724427446826,0.7643525247343106,0.029748282035447035,"[0.689, 0.7171, 0.7026, 0.7026, 0.7591]","[0.7623, 0.7828, 0.7198, 0.7493, 0.8076]"
13,layer_13,780,346,434,5,0.7260768286952869,0.02084330309850529,0.7282051282051282,0.022426738057097318,0.7620436902257619,0.029021510593521732,"[0.6944, 0.7386, 0.7084, 0.7416, 0.7474]","[0.7211, 0.7771, 0.7478, 0.7566, 0.8076]"
14,layer_14,780,346,434,5,0.7286668791849922,0.009128822458695751,0.7307692307692308,0.009065471553673701,0.760396590187741,0.026032639892097895,"[0.739, 0.7199, 0.7171, 0.7286, 0.7386]","[0.7468, 0.7893, 0.7195, 0.7596, 0.7868]"
15,layer_15,780,346,434,5,0.7364970504780832,0.01608081051535353,0.7384615384615385,0.016418267275468832,0.7854153543383345,0.026779241583659866,"[0.7377, 0.7214, 0.7504, 0.7156, 0.7574]","[0.8093, 0.8013, 0.7701, 0.7398, 0.8066]"
16,layer_16,780,346,434,5,0.7232644973194466,0.026400923009187352,0.7256410256410257,0.025447991334973333,0.7779287930785439,0.014462623031743933,"[0.748, 0.7171, 0.7546, 0.6809, 0.7156]","[0.7922, 0.7834, 0.7838, 0.7501, 0.7801]"
17,layer_17,780,346,434,5,0.7453912910654308,0.025836591267191397,0.7487179487179487,0.022718006598294024,0.7972431502963911,0.01418042029278981,"[0.7694, 0.7531, 0.7634, 0.6967, 0.7444]","[0.8086, 0.7969, 0.7946, 0.7726, 0.8134]"
18,layer_18,780,346,434,5,0.7463322491578132,0.020263753450740468,0.7487179487179487,0.021982600255746467,0.7892575915807323,0.03185019672370313,"[0.7551, 0.7329, 0.7361, 0.7256, 0.7819]","[0.7902, 0.7934, 0.7876, 0.7373, 0.8377]"
19,layer_19,780,346,434,5,0.7451646601948195,0.01678034447768557,0.7461538461538462,0.015491084581531513,0.7934189771116655,0.026002842272165684,"[0.7578, 0.7359, 0.7476, 0.7184, 0.7661]","[0.7958, 0.7873, 0.7834, 0.7606, 0.8399]"
